danceability,energy,speechiness,acousticness,instrumentalness,liveness,genre
0.79,0.41,0.0343,0.263,0.00314,0.174,Rythm and Blues
0.693,0.369,0.175,0.637,0.00335,0.0951,Rythm and Blues
0.59,0.659,0.0697,0.104,6.56e-06,0.356,Rythm and Blues
0.634,0.424,0.0493,0.344,1.11e-05,0.442,Rythm and Blues
0.784,0.888,0.165,0.0158,0.892,0.169,Techno
0.744,0.697,0.0575,0.00189,0.855,0.62,Techno
0.596,0.837,0.0488,0.0775,0.806,0.297,Techno
0.783,0.716,0.0528,0.0014,0.751,0.119,Techno
0.609,0.912,0.0391,0.0196,0.478,0.133,Techno
0.542,0.978,0.0599,0.000219,0.0138,0.472,Techno
0.854,0.93,0.0439,0.563,0.697,0.0815,Techno
0.788,0.585,0.0573,0.776,0.817,0.123,Techno
0.77,0.966,0.0422,0.000438,0.932,0.098,Techno
0.723,0.769,0.0634,0.226,0.892,0.0764,Techno
0.675,0.823,0.0887,0.0131,0.0147,0.0981,Techno
0.748,0.908,0.0504,0.0588,0.894,0.0943,Techno
0.805,0.917,0.151,0.00086,0.625,0.108,Techno
0.749,0.731,0.108,0.00314,0.867,0.111,Techno
0.829,0.722,0.256,0.0243,0.741,0.126,Techno
0.586,0.994,0.0609,0.00209,0.892,0.0441,Techno
0.62,0.701,0.0445,0.000809,0.865,0.119,Techno
0.594,0.978,0.0634,0.0028,0.639,0.112,Techno
0.731,0.886,0.0663,0.00566,0.87,0.147,Techno
0.637,0.68,0.0884,0.817,0.849,0.301,Techno
0.553,0.948,0.037,0.00881,0.818,0.102,Techno
0.601,0.98,0.132,0.00555,0.86,0.475,Techno
0.683,0.824,0.0882,0.0215,0.918,0.0661,Techno
0.8,0.846,0.0624,0.0277,0.877,0.0896,Techno
0.659,0.93,0.043,0.00634,0.177,0.104,Techno
0.715,0.786,0.159,0.0114,0.525,0.117,Techno
0.472,0.912,0.0456,3.57e-05,0.92,0.0948,Techno
0.693,0.949,0.0417,0.00284,0.864,0.0804,Techno
0.758,0.997,0.0932,0.00581,0.641,0.756,Techno
0.552,0.882,0.0403,5.01e-05,0.787,0.0484,Techno
0.87,0.657,0.0746,0.00411,0.0722,0.834,Techno
0.592,0.96,0.12,0.0249,0.858,0.445,Techno
0.585,0.948,0.0821,0.02,0.361,0.0704,Techno
0.635,0.983,0.0516,0.199,0.852,0.419,Techno
0.674,0.961,0.0624,0.0623,0.895,0.0844,Techno
0.714,0.782,0.0402,0.0756,0.64,0.256,Techno
0.79,0.913,0.0604,0.000453,0.244,0.109,Techno
0.532,0.897,0.0549,0.0479,0.908,0.0984,Techno
0.622,0.923,0.0385,0.00218,0.821,0.12,Techno
0.71,0.717,0.0445,0.0653,0.88,0.149,Techno
0.637,0.726,0.0595,0.213,0.596,0.631,Techno
0.682,0.923,0.0548,0.00182,0.662,0.0925,Techno
0.786,0.908,0.057,0.00609,0.867,0.11,Techno
0.656,0.84,0.0758,6.86e-06,0.691,0.247,Techno
0.799,0.611,0.0841,0.00191,0.879,0.104,Techno
0.43,0.994,0.105,4.28e-06,0.875,0.17,Techno
0.75,0.748,0.134,0.383,0.865,0.124,Techno
0.596,0.963,0.0806,0.000443,0.872,0.285,Techno
0.539,0.98,0.0861,0.00182,0.767,0.212,Techno
0.736,0.845,0.0377,0.00545,0.902,0.111,Techno
